model_version,cohort,major_unlock,profession_xp_required,elapsed_calendar_days,expected_commands,recommended_purchase_cost_coins
phase0-v1,casual,starter,0,0.00,0.00,0
phase0-v1,casual,tool_choice,500,21.88,87.50,300
phase0-v1,casual,second_tier,3000,131.25,525.00,1500
phase0-v1,casual,deep_mine,10000,437.50,1750.00,5000
phase0-v1,casual,specialist,25000,1093.75,4375.00,15000
phase0-v1,casual,mastery_ready,60000,2625.00,10500.00,30000
phase0-v1,casual,prestige_prep,120000,5250.00,21000.00,50000
phase0-v1,regular,starter,0,0.00,0.00,0
phase0-v1,regular,tool_choice,500,5.83,72.50,300
phase0-v1,regular,second_tier,3000,35.00,435.00,1500
phase0-v1,regular,deep_mine,10000,116.67,1450.00,5000
phase0-v1,regular,specialist,25000,291.67,3625.00,15000
phase0-v1,regular,mastery_ready,60000,700.00,8700.00,30000
phase0-v1,regular,prestige_prep,120000,1400.00,17400.00,50000
phase0-v1,dedicated,starter,0,0.00,0.00,0
phase0-v1,dedicated,tool_choice,500,2.00,66.50,300
phase0-v1,dedicated,second_tier,3000,12.00,399.00,1500
phase0-v1,dedicated,deep_mine,10000,40.00,1330.00,5000
phase0-v1,dedicated,specialist,25000,100.00,3325.00,15000
phase0-v1,dedicated,mastery_ready,60000,240.00,7980.00,30000
phase0-v1,dedicated,prestige_prep,120000,480.00,15960.00,50000
phase0-v1,optimized_hardcore,starter,0,0.00,0.00,0
phase0-v1,optimized_hardcore,tool_choice,500,1.39,80.90,300
phase0-v1,optimized_hardcore,second_tier,3000,8.33,485.42,1500
phase0-v1,optimized_hardcore,deep_mine,10000,27.78,1618.06,5000
phase0-v1,optimized_hardcore,specialist,25000,69.44,4045.14,15000
phase0-v1,optimized_hardcore,mastery_ready,60000,166.67,9708.33,30000
phase0-v1,optimized_hardcore,prestige_prep,120000,333.33,19416.67,50000
