model_version,cohort,horizon,calendar_days,actions_per_day,commands_per_day,expected_actions,expected_commands,expected_income_coins,source_standard_deviation_coins,recurring_sink_spend_coins,milestone_sink_spend_coins,expected_spending_coins,sink_standard_deviation_coins,coin_stockpile,material_stockpile_units,profession_xp,account_xp,latest_major_unlock,daily_reward_share_bps,sink_source_ratio_bps,unfunded_sink_demand_coins
phase0-v1,casual,one_day,1,2.29,4.00,2.29,4.00,65.43,18.14,29.71,0.00,29.71,7.56,35.71,0.41,22.86,6.36,starter,1310,4541,0.00
phase0-v1,casual,one_week,7,2.29,4.00,16.00,28.00,458.00,48.00,208.00,0.00,208.00,20.00,250.00,2.88,160.00,44.50,starter,1310,4541,0.00
phase0-v1,casual,one_month,30,2.29,4.00,68.57,120.00,1962.86,99.37,891.43,300.00,1191.43,41.40,771.43,12.34,685.71,190.71,tool_choice,1310,6069,0.00
phase0-v1,casual,three_months,91,2.29,4.00,208.00,364.00,5954.00,173.07,2704.00,300.00,3004.00,72.11,2950.00,37.44,2080.00,578.50,tool_choice,1310,5045,0.00
phase0-v1,casual,six_months,182,2.29,4.00,416.00,728.00,11908.00,244.75,5408.00,1800.00,7208.00,101.98,4700.00,74.88,4160.00,1157.00,second_tier,1310,6053,0.00
phase0-v1,casual,one_year,365,2.29,4.00,834.29,1460.00,23881.43,346.61,10845.71,1800.00,12645.71,144.42,11235.71,150.17,8342.86,2320.36,second_tier,1310,5295,0.00
phase0-v1,casual,three_years,1095,2.29,4.00,2502.86,4380.00,71644.29,600.34,32537.14,21800.00,54337.14,250.14,17307.14,450.51,25028.57,6961.07,specialist,1310,7584,0.00
phase0-v1,regular,one_day,1,8.57,12.43,8.57,12.43,223.63,36.19,122.06,0.00,122.06,14.86,101.57,1.59,85.71,20.36,starter,574,5458,0.00
phase0-v1,regular,one_week,7,8.57,12.43,60.00,87.00,1565.40,95.74,854.40,300.00,1154.40,39.31,411.00,11.12,600.00,142.50,tool_choice,574,7374,0.00
phase0-v1,regular,one_month,30,8.57,12.43,257.14,372.86,6708.86,198.20,3661.71,300.00,3961.71,81.37,2747.14,47.67,2571.43,610.71,tool_choice,574,5905,0.00
phase0-v1,regular,three_months,91,8.57,12.43,780.00,1131.00,20350.20,345.20,11107.20,1800.00,12907.20,141.72,7443.00,144.61,7800.00,1852.50,second_tier,574,6342,0.00
phase0-v1,regular,six_months,182,8.57,12.43,1560.00,2262.00,40700.40,488.18,22214.40,6800.00,29014.40,200.42,11686.00,289.22,15600.00,3705.00,deep_mine,574,7128,0.00
phase0-v1,regular,one_year,365,8.57,12.43,3128.57,4536.43,81624.43,691.34,44550.86,21800.00,66350.86,283.83,15273.57,580.04,31285.71,7430.36,specialist,574,8128,0.00
phase0-v1,regular,three_years,1095,8.57,12.43,9385.71,13609.29,244873.29,1197.44,133652.57,51800.00,185452.57,491.61,59420.71,1740.11,93857.14,22291.07,mastery_ready,574,7573,0.00
phase0-v1,dedicated,one_day,1,25.00,33.25,25.00,33.25,644.57,64.80,393.00,0.00,393.00,25.98,251.57,4.86,250.00,53.57,starter,232,6097,0.00
phase0-v1,dedicated,one_week,7,25.00,33.25,175.00,232.75,4512.00,171.44,2751.00,300.00,3051.00,68.74,1461.00,34.02,1750.00,375.00,tool_choice,232,6761,0.00
phase0-v1,dedicated,one_month,30,25.00,33.25,750.00,997.50,19337.14,354.92,11790.00,1800.00,13590.00,142.30,5747.14,145.80,7500.00,1607.14,second_tier,232,7027,0.00
phase0-v1,dedicated,three_months,91,25.00,33.25,2275.00,3025.75,58656.00,618.15,35763.00,6800.00,42563.00,247.84,16093.00,442.26,22750.00,4875.00,deep_mine,232,7256,0.00
phase0-v1,dedicated,six_months,182,25.00,33.25,4550.00,6051.50,117312.00,874.20,71526.00,21800.00,93326.00,350.50,23986.00,884.52,45500.00,9750.00,specialist,232,7955,0.00
phase0-v1,dedicated,one_year,365,25.00,33.25,9125.00,12136.25,235268.57,1238.00,143445.00,51800.00,195245.00,496.36,40023.57,1773.90,91250.00,19553.57,mastery_ready,232,8298,0.00
phase0-v1,dedicated,three_years,1095,25.00,33.25,27375.00,36408.75,705805.71,2144.28,430335.00,101800.00,532135.00,859.72,173670.71,5321.70,273750.00,58660.71,prestige_prep,232,7539,0.00
phase0-v1,optimized_hardcore,one_day,1,45.00,58.25,45.00,58.25,975.77,82.80,684.00,0.00,684.00,32.17,291.77,7.45,360.00,75.57,starter,153,7009,0.00
phase0-v1,optimized_hardcore,one_week,7,45.00,58.25,315.00,407.75,6830.40,219.07,4788.00,300.00,5088.00,85.12,1742.40,52.16,2520.00,529.00,tool_choice,153,7449,0.00
